show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_num,year_added
s1,Movie,dick johnson is dead,kirsten johnson,not available,united states,9/25/2021,2020,PG-13,90 min,Documentaries,as her father nears the end of his life filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable,90,2021
s2,TV Show,blood water,not available,ama qamata khosi ngema gail mabalane thabang molaba dillon windvogel natasha thahane arno greeff xolile tshabalala getmore sithole cindy mahlangu ryle de morny greteli fincham sello maake kancube odwa gwanya mekaila mathys sandi schultz duane williams shamilla miller patrick mofokeng,south africa,9/24/2021,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",after crossing paths at a party a cape town teen sets out to prove whether a privateschool swimming star is her sister who was abducted at birth,2,2021
s3,TV Show,ganglands,julien leclercq,sami bouajila tracy gotoas samuel jouy nabiha akkari sofia lesaffre salim kechiouche noureddine farihi geert van rampelberg bakary diombera,unknown,9/24/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",to protect his family from a powerful drug lord skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war,1,2021
s4,TV Show,jailbirds new orleans,not available,not available,unknown,9/24/2021,2021,TV-MA,1 Season,"Docuseries, Reality TV",feuds flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series,1,2021
s5,TV Show,kota factory,not available,mayur more jitendra kumar ranjan raj alam khan ahsaas channa revathi pillai urvi singh arun kumar,india,9/24/2021,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",in a city of coaching centers known to train indias finest collegiate minds an earnest but unexceptional student and his friends navigate campus life,2,2021
s6,TV Show,midnight mass,mike flanagan,kate siegel zach gilford hamish linklater henry thomas kristin lehman samantha sloyan igby rigney rahul kohli annarah cymone annabeth gish alex essoe rahul abburi matt biedel michael trucco crystal balint louis oliver,unknown,9/24/2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",the arrival of a charismatic young priest brings glorious miracles ominous mysteries and renewed religious fervor to a dying town desperate to believe,1,2021
s7,Movie,my little pony a new generation,robert cullen jos luis ucha,vanessa hudgens kimiko glenn james marsden sofia carson liza koshy ken jeong elizabeth perkins jane krakowski michael mckean phil lamarr,unknown,9/24/2021,2021,PG,91 min,Children & Family Movies,equestrias divided but a brighteyed hero believes earth ponies pegasi and unicorns should be pals  and hoof to heart shes determined to prove it,91,2021
s8,Movie,sankofa,haile gerima,kofi ghanaba oyafunmike ogunlano alexandra duah nick medley mutabaruka afemo omilami reggie carter mzuri,united states ghana burkina faso united kingdom germany ethiopia,9/24/2021,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",on a photo shoot in ghana an american model slips back in time becomes enslaved on a plantation and bears witness to the agony of her ancestral past,125,2021
s9,TV Show,the great british baking show,andy devonshire,mel giedroyc sue perkins mary berry paul hollywood,united kingdom,9/24/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",a talented batch of amateur bakers face off in a 10week competition whipping up their best dishes in the hopes of being named the uks best,9,2021
s10,Movie,the starling,theodore melfi,melissa mccarthy chris odowd kevin kline timothy olyphant daveed diggs skyler gisondo laura harrier rosalind chao kimberly quinn loretta devine ravi kapoor,united states,9/24/2021,2021,PG-13,104 min,"Comedies, Dramas",a woman adjusting to life after a loss contends with a feisty bird thats taken over her garden  and a husband whos struggling to find a way forward,104,2021
